Price,Close,High,Low,Open,Volume
Ticker,AVGO,AVGO,AVGO,AVGO,AVGO
Date,,,,,
2015-02-09,7.737517356872559,7.8972023715286825,7.705731919378973,7.866930423190957,20346000
2015-02-10,8.100781440734863,8.132566878158093,7.786708985033391,7.798061236287478,20398000
2015-02-11,8.168893814086914,8.196138787491376,8.047049621919134,8.08186204204128,17169000
2015-02-12,8.30208969116211,8.327820449486145,8.20824614903638,8.233977629100572,21072000
2015-02-13,8.336143493652344,8.33992757628194,8.18024260931677,8.324791245763551,14614000
2015-02-17,8.390633583068848,8.426960202762848,8.255923691560337,8.339928458297683,15312000
2015-02-18,8.32479190826416,8.369443076410871,8.271059085431673,8.349009172932876,16681000
2015-02-19,8.392905235290527,8.408040847577746,8.298305312839986,8.324793175647716,13196000
2015-02-20,8.480694770812988,8.488262216688566,8.359606254181294,8.433015892225812,19283000
2015-02-23,8.540480613708496,8.569239070060366,8.473125661589698,8.551832863870583,23854000
2015-02-24,8.565455436706543,8.597240872742285,8.446638243409089,8.58967342731007,23213000
2015-02-25,8.52761459350586,8.619944637286471,8.499613243450309,8.573779976266207,38216000
2015-02-26,9.781630516052246,9.830065766532995,9.31241506452127,9.32679429078493,89263000
2015-02-27,9.658271789550781,9.74000595586924,9.546265683049931,9.74000595586924,33825000
2015-03-02,9.764225959777832,9.904233441414942,9.627244734522648,9.627244734522648,27893000
2015-03-03,9.703678131103516,9.75816804969326,9.654486505082678,9.705192341403144,18682000
2015-03-04,9.792983055114746,9.829309677164835,9.412313515900244,9.663570727106459,36143000
2015-03-05,9.8815279006958,9.954937520121947,9.746060910387964,9.789954972294524,21688000
2015-03-06,9.67870807647705,9.87547611168194,9.649193232066425,9.838393099361845,22329000
2015-03-09,9.620431900024414,9.731681625520578,9.60605267398423,9.671137743795592,17835000
2015-03-10,9.469072341918945,9.606052822306271,9.422907685521338,9.514479893043799,17688000
2015-03-11,9.4342622756958,9.571243522300344,9.423667128877137,9.482697541898371,17742000
2015-03-12,9.544754028320312,9.551565089865594,9.198896161148637,9.2995507605093,22305000
2015-03-13,9.459992408752441,9.592432446823006,9.37977171354367,9.51372524069513,18414000
2015-03-16,9.828554153442383,9.872448224143074,9.588648449332691,9.601514189246046,23077000
2015-03-17,9.770281791687012,9.808121912437722,9.64919398267696,9.748334391738352,19006000
2015-03-18,9.900832176208496,9.964591432578853,9.692098264826429,9.765724602900951,21250000
2015-03-19,10.02227783203125,10.091349573467099,9.868952609135091,9.905386468807583,24461000
2015-03-20,10.117156982421875,10.184710766823127,10.034422181910308,10.12778340415082,55522000
2015-03-23,10.204445838928223,10.344108004650705,10.162698767736714,10.24695152661662,23849000
2015-03-24,10.104256629943848,10.275038774860361,10.086039694090397,10.24467745639492,25819000
2015-03-25,9.444659233093262,10.120199703096691,9.44238193437083,10.066308217849937,48853000
2015-03-26,9.465909957885742,9.498548578025126,8.877659074038473,9.128140160929531,45058000
2015-03-27,9.731571197509766,9.791534495314792,9.476535537004652,9.487161962536453,24297000
